variable,source,itemid,label,value_source,train_measurement_count,train_sample_count,train_sample_coverage
chartevents::220045::Heart Rate::valuenum,chartevents,220045,Heart Rate,valuenum,138291,7770,0.9688279301745636
chartevents::220210::Respiratory Rate::valuenum,chartevents,220210,Respiratory Rate,valuenum,137382,7759,0.9674563591022444
chartevents::220277::O2 saturation pulseoxymetry::valuenum,chartevents,220277,O2 saturation pulseoxymetry,valuenum,135292,7744,0.9655860349127182
chartevents::224641::Alarms On::valuenum,chartevents,224641,Alarms On,valuenum,32439,7550,0.9413965087281796
chartevents::224168::Parameters Checked::valuenum,chartevents,224168,Parameters Checked,valuenum,31727,7449,0.9288029925187032
chartevents::220739::GCS - Eye Opening::valuenum,chartevents,220739,GCS - Eye Opening,valuenum,33291,7416,0.9246882793017457
chartevents::223900::GCS - Verbal Response::valuenum,chartevents,223900,GCS - Verbal Response,valuenum,33366,7402,0.9229426433915212
chartevents::223901::GCS - Motor Response::valuenum,chartevents,223901,GCS - Motor Response,valuenum,33167,7396,0.9221945137157107
chartevents::223761::Temperature Fahrenheit::valuenum,chartevents,223761,Temperature Fahrenheit,valuenum,33089,7354,0.9169576059850374
chartevents::226253::SpO2 Desat Limit::valuenum,chartevents,226253,SpO2 Desat Limit,valuenum,13265,7308,0.9112219451371572
chartevents::220181::Non Invasive Blood Pressure mean::valuenum,chartevents,220181,Non Invasive Blood Pressure mean,valuenum,111162,7159,0.892643391521197
chartevents::220179::Non Invasive Blood Pressure systolic::valuenum,chartevents,220179,Non Invasive Blood Pressure systolic,valuenum,111226,7150,0.8915211970074813
chartevents::220180::Non Invasive Blood Pressure diastolic::valuenum,chartevents,220180,Non Invasive Blood Pressure diastolic,valuenum,111212,7150,0.8915211970074813
chartevents::224054::Braden Sensory Perception::valuenum,chartevents,224054,Braden Sensory Perception,valuenum,17737,7150,0.8915211970074813
chartevents::224055::Braden Moisture::valuenum,chartevents,224055,Braden Moisture,valuenum,17723,7149,0.8913965087281795
chartevents::224057::Braden Mobility::valuenum,chartevents,224057,Braden Mobility,valuenum,17707,7146,0.8910224438902743
chartevents::224058::Braden Nutrition::valuenum,chartevents,224058,Braden Nutrition,valuenum,17706,7146,0.8910224438902743
chartevents::224056::Braden Activity::valuenum,chartevents,224056,Braden Activity,valuenum,17703,7144,0.8907730673316708
chartevents::224059::Braden Friction/Shear::valuenum,chartevents,224059,Braden Friction/Shear,valuenum,17667,7140,0.8902743142144638
chartevents::228096::Richmond-RAS Scale::valuenum,chartevents,228096,Richmond-RAS Scale,valuenum,25941,7065,0.8809226932668329
labevents::50983::Sodium::valuenum,labevents,50983,Sodium,valuenum,12711,7065,0.8809226932668329
labevents::50971::Potassium::valuenum,labevents,50971,Potassium,valuenum,12710,7065,0.8809226932668329
labevents::50902::Chloride::valuenum,labevents,50902,Chloride,valuenum,12679,7063,0.8806733167082295
labevents::50912::Creatinine::valuenum,labevents,50912,Creatinine,valuenum,12219,7048,0.8788029925187032
labevents::51006::Urea Nitrogen::valuenum,labevents,51006,Urea Nitrogen,valuenum,12183,7047,0.8786783042394015
labevents::50931::Glucose::valuenum,labevents,50931,Glucose,valuenum,12009,7029,0.8764339152119701
labevents::50882::Bicarbonate::valuenum,labevents,50882,Bicarbonate,valuenum,12081,7028,0.8763092269326683
labevents::50868::Anion Gap::valuenum,labevents,50868,Anion Gap,valuenum,12071,7025,0.8759351620947631
labevents::51221::Hematocrit::valuenum,labevents,51221,Hematocrit,valuenum,11643,6958,0.8675810473815462
labevents::51222::Hemoglobin::valuenum,labevents,51222,Hemoglobin,valuenum,10893,6925,0.8634663341645885
labevents::51265::Platelet Count::valuenum,labevents,51265,Platelet Count,valuenum,10798,6921,0.8629675810473816
labevents::51301::White Blood Cells::valuenum,labevents,51301,White Blood Cells,valuenum,10678,6920,0.8628428927680798
labevents::51250::MCV::valuenum,labevents,51250,MCV,valuenum,10668,6918,0.8625935162094763
labevents::51279::Red Blood Cells::valuenum,labevents,51279,Red Blood Cells,valuenum,10668,6918,0.8625935162094763
labevents::51277::RDW::valuenum,labevents,51277,RDW,valuenum,10667,6918,0.8625935162094763
labevents::51249::MCHC::valuenum,labevents,51249,MCHC,valuenum,10668,6917,0.8624688279301745
labevents::51248::MCH::valuenum,labevents,51248,MCH,valuenum,10667,6917,0.8624688279301745
labevents::50960::Magnesium::valuenum,labevents,50960,Magnesium,valuenum,11571,6886,0.8586034912718205
labevents::50970::Phosphate::valuenum,labevents,50970,Phosphate,valuenum,11271,6851,0.8542394014962593
"labevents::50893::Calcium, Total::valuenum",labevents,50893,"Calcium, Total",valuenum,11254,6836,0.8523690773067332
chartevents::227345::Gait/Transferring::valuenum,chartevents,227345,Gait/Transferring,valuenum,13890,6825,0.850997506234414
chartevents::227344::IV/Saline lock::valuenum,chartevents,227344,IV/Saline lock,valuenum,13890,6823,0.8507481296758105
chartevents::227346::Mental status::valuenum,chartevents,227346,Mental status,valuenum,13874,6822,0.8506234413965087
chartevents::227343::Ambulatory aid::valuenum,chartevents,227343,Ambulatory aid,valuenum,13873,6818,0.8501246882793018
chartevents::227342::Secondary diagnosis::valuenum,chartevents,227342,Secondary diagnosis,valuenum,13950,6812,0.8493765586034913
chartevents::228305::ST Segment Monitoring On::valuenum,chartevents,228305,ST Segment Monitoring On,valuenum,26000,6785,0.8460099750623441
chartevents::227341::History of falling (within 3 mnths)::valuenum,chartevents,227341,History of falling (within 3 mnths),valuenum,13915,6781,0.8455112219451372
chartevents::228412::Strength R Arm::valuenum,chartevents,228412,Strength R Arm,valuenum,26210,6568,0.8189526184538654
chartevents::228409::Strength L Arm::valuenum,chartevents,228409,Strength L Arm,valuenum,26191,6566,0.8187032418952619
chartevents::228411::Strength R Leg::valuenum,chartevents,228411,Strength R Leg,valuenum,26168,6562,0.8182044887780549
chartevents::228410::Strength L Leg::valuenum,chartevents,228410,Strength L Leg,valuenum,26121,6556,0.8174563591022443
chartevents::220645::Sodium (serum)::valuenum,chartevents,220645,Sodium (serum),valuenum,10945,6545,0.8160847880299252
chartevents::227442::Potassium (serum)::valuenum,chartevents,227442,Potassium (serum),valuenum,10937,6545,0.8160847880299252
