recommendation,clinical_category,n_features
core,chart_other,6
core,lab_other,3
core,lab_blood_gas_respiration,2
core,lab_liver_protein,2
core,vital_blood_pressure,2
core,lab_cbc,1
core,lab_coagulation,1
core,lab_electrolyte,1
core,vital_heart_rate,1
reject_or_review_sparse,lab_other,27
reject_or_review_sparse,chart_other,19
reject_or_review_sparse,lab_blood_gas_respiration,9
reject_or_review_sparse,vital_blood_pressure,5
reject_or_review_sparse,lab_electrolyte,2
reject_or_review_sparse,lab_cbc,1
reject_or_review_sparse,lab_renal,1
reject_or_review_sparse,vital_oxygen_saturation,1
reject_possible_leakage,chart_other,250
reject_possible_leakage,lab_other,27
reject_possible_leakage,vital_blood_pressure,7
reject_possible_leakage,lab_metabolic,4
reject_possible_leakage,lab_electrolyte,3
reject_possible_leakage,vital_respiratory_rate,3
reject_possible_leakage,lab_liver_protein,2
reject_possible_leakage,lab_renal,2
reject_possible_leakage,lab_blood_gas_respiration,1
reject_possible_leakage,vital_oxygen_saturation,1
review,chart_other,23
review,lab_blood_gas_respiration,10
review,lab_other,10
review,lab_electrolyte,6
review,lab_cbc,4
review,bedside_glucose,3
review,lab_metabolic,3
review,vital_blood_pressure,3
review,lab_coagulation,2
review,lab_renal,2
review,lab_liver_protein,1
review,vital_temperature,1
strong,chart_other,8
strong,lab_other,3
strong,lab_metabolic,2
strong,lab_coagulation,1
strong,vital_blood_pressure,1
strong,vital_oxygen_saturation,1
strong,vital_respiratory_rate,1
strong,vital_temperature,1
weak_or_noise,lab_other,23
weak_or_noise,chart_other,22
weak_or_noise,lab_blood_gas_respiration,9
weak_or_noise,lab_cbc,3
weak_or_noise,vital_blood_pressure,2
weak_or_noise,lab_coagulation,1
weak_or_noise,lab_liver_protein,1
weak_or_noise,lab_metabolic,1
