feature_index,variable,label,source,itemid,value_source,clinical_category,summary_mode,hourly_coverage,valid_n,valid_fraction,positive_n,negative_n,variance,mean_positive,mean_negative,abs_mean_difference,point_biserial_corr,abs_point_biserial_corr,auroc,auroc_abs,auprc,ap_lift_over_prevalence,mutual_information,possible_leakage_flag,static_like_flag,physiology_direction_hint,univariate_relevance_score
0,chartevents::220045::Heart Rate::valuenum,Heart Rate,chartevents,220045,valuenum,vital_heart_rate,mean,0.6215710639953613,7770,0.9688279301745636,989,6781,315.1651306152344,93.85596466064453,89.59226989746094,4.263694763183594,0.08004600352418871,0.08004600352418871,0.565689477036071,0.565689477036071,0.1620156594658354,1.1580798475187166,0.0012918155624108696,False,False,higher_may_indicate_physiologic_stress,0.3998739796986747
1,chartevents::220210::Respiratory Rate::valuenum,Respiratory Rate,chartevents,220210,valuenum,vital_respiratory_rate,mean,0.6187344193458557,7759,0.9674563591022444,987,6772,21.685880661010742,21.95818328857422,20.556169509887695,1.4020137786865234,0.10031729516702409,0.10031729516702409,0.5807152761445155,0.5807152761445155,0.17448390765294092,1.2472022632589894,0.011292434594461609,False,False,higher_may_indicate_respiratory_distress,0.47452530150625083
2,chartevents::220277::O2 saturation pulseoxymetry::valuenum,O2 saturation pulseoxymetry,chartevents,220277,valuenum,vital_oxygen_saturation,mean,0.6085671186447144,7744,0.9655860349127182,984,6760,13.049501419067383,95.6543197631836,96.17225646972656,0.5179367065429688,-0.04775022281342777,0.04775022281342777,0.462832614735171,0.537167385264829,0.14019754219619163,1.0021250342365926,0.01568504287801198,False,False,lower_may_indicate_worse_oxygenation,0.36654583837367166
3,chartevents::220227::Arterial O2 Saturation::valuenum,Arterial O2 Saturation,chartevents,220227,valuenum,vital_oxygen_saturation,mean,0.0026184539310634136,373,0.04650872817955112,83,290,61.14338302612305,94.87871551513672,93.41375732421875,1.4649581909179688,0.07792532367999123,0.07792532367999123,0.5442044038221853,0.5442044038221853,0.25338617872066205,1.8111917587697948,0.0,False,False,lower_may_indicate_worse_oxygenation,0.29097215097090534
4,chartevents::220179::Non Invasive Blood Pressure systolic::valuenum,Non Invasive Blood Pressure systolic,chartevents,220179,valuenum,vital_blood_pressure,mean,0.516879677772522,7150,0.8915211970074813,876,6274,406.86956787109375,121.37405395507812,118.64350128173828,2.7305526733398438,0.04438543473897598,0.04438543473897598,0.5287537863735675,0.5287537863735675,0.14958510661943,1.0692268761923607,0.0009624013952351795,False,False,low_or_high_may_indicate_instability,0.3096263860917244
5,chartevents::220180::Non Invasive Blood Pressure diastolic::valuenum,Non Invasive Blood Pressure diastolic,chartevents,220180,valuenum,vital_blood_pressure,mean,0.516806960105896,7150,0.8915211970074813,876,6274,5862.3291015625,72.28582000732422,66.42874908447266,5.8570709228515625,0.02508207291670236,0.02508207291670236,0.5174135884413896,0.5174135884413896,0.14694614790751614,1.0503637310323348,0.005816467505722178,False,False,low_or_high_may_indicate_instability,0.28941529503626556
6,chartevents::220181::Non Invasive Blood Pressure mean::valuenum,Non Invasive Blood Pressure mean,chartevents,220181,valuenum,vital_blood_pressure,mean,0.5171654224395752,7159,0.892643391521197,876,6283,182.7968292236328,79.23310852050781,77.47857666015625,1.7545318603515625,0.04252692135360507,0.04252692135360507,0.5219035274572177,0.5219035274572177,0.15025304916272847,1.0740012961542624,0.01065522861307211,False,False,low_or_high_may_indicate_instability,0.3314116066619717
7,chartevents::220050::Arterial Blood Pressure systolic::valuenum,Arterial Blood Pressure systolic,chartevents,220050,valuenum,vital_blood_pressure,mean,0.094903364777565,1339,0.1669576059850374,231,1108,459.06878662109375,118.15340423583984,118.65118408203125,0.49777984619140625,-0.008777919827178219,0.008777919827178219,0.48824956631815836,0.5117504336818417,0.18352850881922247,1.311852620971626,0.00424419781670804,False,False,low_or_high_may_indicate_instability,0.20912215252570948
8,chartevents::220051::Arterial Blood Pressure diastolic::valuenum,Arterial Blood Pressure diastolic,chartevents,220051,valuenum,vital_blood_pressure,mean,0.09489817172288895,1339,0.1669576059850374,231,1108,158.86500549316406,59.697174072265625,60.45913314819336,0.7619590759277344,-0.022840768912606647,0.022840768912606647,0.48179903730445245,0.5182009626955475,0.16820193226853705,1.202299016750149,0.009564196940265335,False,False,low_or_high_may_indicate_instability,0.23869166744567516
9,chartevents::220052::Arterial Blood Pressure mean::valuenum,Arterial Blood Pressure mean,chartevents,220052,valuenum,vital_blood_pressure,mean,0.09560474008321762,1366,0.17032418952618453,235,1131,646.0223999023438,79.22480010986328,82.0562973022461,2.8314971923828125,-0.04204425542217567,0.04204425542217567,0.4860168933536505,0.5139831066463495,0.1707054653701365,1.2201941464068582,0.01710557416099956,False,False,low_or_high_may_indicate_instability,0.2837737915643212
10,chartevents::223761::Temperature Fahrenheit::valuenum,Temperature Fahrenheit,chartevents,223761,valuenum,vital_temperature,mean,0.167648583650589,7354,0.9169576059850374,905,6449,3.2826826572418213,98.35882568359375,98.2855453491211,0.07328033447265625,0.013284384944387212,0.013284384944387212,0.512997775148659,0.512997775148659,0.13748604054481456,0.982743355765965,0.011796822526982886,False,False,,0.2859852091260274
11,chartevents::223762::Temperature Celsius::valuenum,Temperature Celsius,chartevents,223762,valuenum,vital_temperature,mean,0.02797173708677292,386,0.04812967581047382,36,350,25.183979034423828,36.14360046386719,37.25229263305664,1.1086921691894531,-0.06424589489694923,0.06424589489694923,0.384047619047619,0.615952380952381,0.08314641919107803,0.5943264544674205,0.031017283537183138,False,False,,0.3484330332014128
12,chartevents::225664::Glucose finger stick (range 70-100)::valuenum,Glucose finger stick (range 70-100),chartevents,225664,valuenum,bedside_glucose,mean,0.0581047385931015,3793,0.4729426433915212,429,3364,3674.276123046875,157.22372436523438,161.14930725097656,3.9255828857421875,-0.020511276294164195,0.020511276294164195,0.4807685378434487,0.5192314621565512,0.10868010592934588,0.7768399728639519,0.0008061360902134052,False,False,,0.20547360210806792
