feature_index,variable,label,source,itemid,value_source,hourly_coverage,possible_leakage_flag,static_like_flag,clinical_category,physiology_direction_hint
0,chartevents::220045::Heart Rate::valuenum,Heart Rate,chartevents,220045,valuenum,0.62157106,False,False,vital_heart_rate,higher_may_indicate_physiologic_stress
1,chartevents::220210::Respiratory Rate::valuenum,Respiratory Rate,chartevents,220210,valuenum,0.6187344,False,False,vital_respiratory_rate,higher_may_indicate_respiratory_distress
2,chartevents::220277::O2 saturation pulseoxymetry::valuenum,O2 saturation pulseoxymetry,chartevents,220277,valuenum,0.6085671,False,False,vital_oxygen_saturation,lower_may_indicate_worse_oxygenation
3,chartevents::220227::Arterial O2 Saturation::valuenum,Arterial O2 Saturation,chartevents,220227,valuenum,0.002618454,False,False,vital_oxygen_saturation,lower_may_indicate_worse_oxygenation
4,chartevents::220179::Non Invasive Blood Pressure systolic::valuenum,Non Invasive Blood Pressure systolic,chartevents,220179,valuenum,0.5168797,False,False,vital_blood_pressure,low_or_high_may_indicate_instability
5,chartevents::220180::Non Invasive Blood Pressure diastolic::valuenum,Non Invasive Blood Pressure diastolic,chartevents,220180,valuenum,0.51680696,False,False,vital_blood_pressure,low_or_high_may_indicate_instability
6,chartevents::220181::Non Invasive Blood Pressure mean::valuenum,Non Invasive Blood Pressure mean,chartevents,220181,valuenum,0.5171654,False,False,vital_blood_pressure,low_or_high_may_indicate_instability
7,chartevents::220050::Arterial Blood Pressure systolic::valuenum,Arterial Blood Pressure systolic,chartevents,220050,valuenum,0.094903365,False,False,vital_blood_pressure,low_or_high_may_indicate_instability
8,chartevents::220051::Arterial Blood Pressure diastolic::valuenum,Arterial Blood Pressure diastolic,chartevents,220051,valuenum,0.09489817,False,False,vital_blood_pressure,low_or_high_may_indicate_instability
9,chartevents::220052::Arterial Blood Pressure mean::valuenum,Arterial Blood Pressure mean,chartevents,220052,valuenum,0.09560474,False,False,vital_blood_pressure,low_or_high_may_indicate_instability
10,chartevents::223761::Temperature Fahrenheit::valuenum,Temperature Fahrenheit,chartevents,223761,valuenum,0.16764858,False,False,vital_temperature,
11,chartevents::223762::Temperature Celsius::valuenum,Temperature Celsius,chartevents,223762,valuenum,0.027971737,False,False,vital_temperature,
12,chartevents::225664::Glucose finger stick (range 70-100)::valuenum,Glucose finger stick (range 70-100),chartevents,225664,valuenum,0.05810474,False,False,bedside_glucose,
13,chartevents::220621::Glucose (serum)::valuenum,Glucose (serum),chartevents,220621,valuenum,0.053652328,False,False,bedside_glucose,
