feature_index,variable,label,source,itemid,value_source,clinical_category,summary_mode,hourly_coverage,valid_n,valid_fraction,positive_n,negative_n,variance,mean_positive,mean_negative,abs_mean_difference,point_biserial_corr,abs_point_biserial_corr,auroc,auroc_abs,auprc,ap_lift_over_prevalence,mutual_information,possible_leakage_flag,static_like_flag,physiology_direction_hint,univariate_relevance_score,correlation_cluster_id,correlation_cluster_size,standardized_variance_diagonal,mrmr_rank,mrmr_score,mean_abs_corr_with_previous_selected,lambda_redundancy,elasticnet_selection_probability,elasticnet_mean_abs_coefficient,elasticnet_successful_bootstraps,elasticnet_n_requested_bootstraps,rfecv_selected,rfecv_rank,mrmr_rank_score,component_relevance,component_stability,component_mrmr,component_coverage,component_rfecv,penalty_leakage,penalty_static,penalty_sparse,penalty_low_relevance,consensus_score,recommendation,recommendation_order
1,chartevents::220210::Respiratory Rate::valuenum,Respiratory Rate,chartevents,220210,valuenum,vital_respiratory_rate,observed_fraction,0.6187344193458557,8020,1.0,1122,6898,0.14791637659072876,0.47181373834609985,0.6426319479942322,0.17081820964813232,-0.15406701293652816,0.15406701293652816,0.38211629969471117,0.6178837003052888,0.11691255573404159,0.8356851131791565,0.023984630647141403,False,False,higher_may_indicate_respiratory_distress,0.5784850444545786,1,3,1.0001247132729174,12.0,0.4293440890914919,0.2982819107261734,0.5,0.475,0.1894506741256919,80.0,80.0,False,,0.8166666666666667,0.5784850444545786,0.475,0.8166666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.5793788466697068,review,3
6,chartevents::220181::Non Invasive Blood Pressure mean::valuenum,Non Invasive Blood Pressure mean,chartevents,220181,valuenum,vital_blood_pressure,observed_fraction,0.5171654224395752,8020,1.0,1122,6898,0.1517847776412964,0.3736630976200104,0.540506899356842,0.16684380173683167,-0.14855238571575635,0.14855238571575635,0.37436482144453764,0.6256351785554624,0.11392239611157245,0.8143116014392257,0.017873317632831842,False,False,low_or_high_may_indicate_instability,0.5576778780074964,3,3,1.0001247420397281,9.0,0.4438531224431656,0.22764951112866147,0.5,0.4375,0.02808770097035449,80.0,80.0,False,,0.8666666666666667,0.5576778780074964,0.4375,0.8666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.5718866967355822,review,3
48,labevents::50971::Potassium::valuenum,Potassium,labevents,50971,valuenum,lab_electrolyte,observed_fraction,0.06592892855405807,8020,1.0,1122,6898,0.002020704559981823,0.059789061546325684,0.06692761182785034,0.007138550281524658,-0.055086086844918586,0.055086086844918586,0.45270316540121935,0.5472968345987806,0.1297366417122656,0.9273510396901694,0.0009037518062073868,False,False,,0.336685584961309,22,8,1.0001246686423801,53.0,0.21452582914097323,0.2443195116406716,0.5,0.975,0.36805983598169406,80.0,80.0,False,,0.1333333333333333,0.336685584961309,0.975,0.1333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.5201723421550594,review,3
64,labevents::51254::Monocytes::valuenum,Monocytes,labevents,51254,valuenum,lab_other,observed_fraction,0.01108686625957489,8020,1.0,1122,6898,0.0004528988793026656,0.012440582737326622,0.010866675525903702,0.0015739072114229202,0.02565439945829468,0.02565439945829468,0.5170093736643291,0.5170093736643291,0.14461503725072877,1.0337010684053876,0.005104742794592054,False,False,,0.25821834859813164,47,2,1.0001247684970183,52.0,0.21957767811530293,0.07728134096565743,0.5,1.0,0.044042847398668525,80.0,80.0,False,,0.15000000000000002,0.25821834859813164,1.0,0.15000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.5074655045794395,review,3
66,labevents::51146::Basophils::valuenum,Basophils,labevents,51146,valuenum,lab_blood_gas_respiration,observed_fraction,0.01108686625957489,8020,1.0,1122,6898,0.0004528988793026656,0.012440582737326622,0.010866675525903702,0.0015739072114229202,0.02565439945829468,0.02565439945829468,0.5170093736643291,0.5170093736643291,0.14461503725072877,1.0337010684053876,0.005104742794592054,False,False,,0.25821834859813164,47,2,1.0001247684970183,54.0,0.20988256768423422,0.09667156182779484,0.5,1.0,0.044042847398668525,80.0,80.0,False,,0.1166666666666667,0.25821834859813164,1.0,0.1166666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.5007988379127728,review,3
42,labevents::51279::Red Blood Cells::valuenum,Red Blood Cells,labevents,51279,valuenum,lab_other,observed_fraction,0.055304449051618576,8020,1.0,1122,6898,0.0014663470210507512,0.051656268537044525,0.055897846817970276,0.004241578280925751,-0.038423112477734285,0.038423112477734285,0.4661552290596514,0.5338447709403487,0.13337004456234716,0.9533224219162427,0.0017823084315622406,False,False,,0.30989516780382037,35,3,1.0001247028390021,55.0,0.20761803355689445,0.20455426849385183,0.5,0.95,0.0514927040960174,80.0,80.0,False,,0.09999999999999998,0.30989516780382037,0.95,0.09999999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.49796855034114607,review,3
25,labevents::50821::pO2::valuenum,pO2,labevents,50821,valuenum,lab_blood_gas_respiration,observed_fraction,0.027171654626727104,8020,1.0,1122,6898,0.002317862818017602,0.03884432464838028,0.025273025035858154,0.013571299612522125,0.09778251997593136,0.09778251997593136,0.5827586233628905,0.5827586233628905,0.17116986266661166,1.2235136351035878,0.0076476758937231715,False,False,lower_may_indicate_worse_oxygenation,0.4405092005600889,21,5,1.0001246756861615,21.0,0.3562925344606831,0.16843333219881168,0.5,0.4375,0.03792997558102797,80.0,80.0,False,,0.6666666666666667,0.4405092005600889,0.4375,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.49673609350136005,review,3
15,chartevents::224167::Manual Blood Pressure Systolic Left::valuenum,Manual Blood Pressure Systolic Left,chartevents,224167,valuenum,vital_blood_pressure,observed_fraction,0.0003065253549721092,8020,1.0,1122,6898,1.397676987835439e-05,0.00014854427718091756,0.0003322219126857817,0.00018367763550486416,-0.017042627453031405,0.017042627453031405,0.49801254748980434,0.5019874525101957,0.13965614357282244,0.9982551438984278,0.0,False,False,low_or_high_may_indicate_instability,0.20638770033762027,12,1,1.0001247002289706,57.0,0.20176615256609742,0.009243095543045718,0.5,1.0,0.05918180979788303,80.0,80.0,False,,0.06666666666666665,0.20638770033762027,1.0,0.06666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.4752496434346194,review,3
26,labevents::50818::pCO2::valuenum,pCO2,labevents,50818,valuenum,lab_blood_gas_respiration,observed_fraction,0.027150873094797134,8020,1.0,1122,6898,0.0023172602523118258,0.03884432464838028,0.02524886280298233,0.01359546184539795,0.09796934849599183,0.09796934849599183,0.5829418380072449,0.5829418380072449,0.1712515317492463,1.224097401630085,0.0075636258543927415,False,False,higher_may_indicate_hypercapnia,0.4406650234862681,21,5,1.0001246860136264,17.0,0.3687923044043462,0.14374543816384383,0.5,0.275,0.006745585016324185,80.0,80.0,False,,0.7333333333333334,0.4406650234862681,0.275,0.7333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.46136617371254707,review,3
23,chartevents::227287::O2 Flow (additional cannula)::valuenum,O2 Flow (additional cannula),chartevents,227287,valuenum,respiratory_support_intensity,mean,0.010136118158698082,693,0.08640897755610973,129,564,124.80065155029297,6.379866600036621,6.314957618713379,0.06490898132324219,0.002261501396605115,0.002261501396605115,0.5838281378855352,0.5838281378855352,0.22291751165050738,1.5934032472701152,0.01965280421958071,False,False,,0.28040841956641205,20,1,1.0001246850111531,44.0,0.2708906817889616,0.019035475554900906,0.5,0.9875,0.041487951807357606,80.0,80.0,False,,0.2833333333333333,0.28040841956641205,0.9875,0.2833333333333333,0.08640897755610973,0.0,0.0,0.0,0.0,0.0,0.4456800902922013,review,3
29,labevents::50804::Calculated Total CO2::valuenum,Calculated Total CO2,labevents,50804,valuenum,lab_blood_gas_respiration,observed_fraction,0.027150873094797134,8020,1.0,1122,6898,0.002313796430826187,0.03884432464838028,0.02524886280298233,0.01359546184539795,0.09804264708263383,0.09804264708263383,0.5828844703753031,0.5828844703753031,0.17123135406152995,1.2239531725253745,0.00744756142706704,False,False,,0.4403505402399809,21,5,1.0001246884870958,24.0,0.34340566931532823,0.19388974184930524,0.5,0.3,0.006596287610591389,80.0,80.0,False,,0.6166666666666667,0.4403505402399809,0.3,0.6166666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.44543849540532765,review,3
56,labevents::50862::Albumin::valuenum,Albumin,labevents,50862,valuenum,lab_liver_protein,observed_fraction,0.009206151589751244,8020,1.0,1122,6898,0.0003875902038998902,0.010175282135605812,0.009048516862094402,0.0011267652735114098,0.019853216861486167,0.019853216861486167,0.5107032625644159,0.5107032625644159,0.14317455087205808,1.0234045436665828,0.0,False,False,,0.22786899469035693,40,1,1.000124717378279,60.0,0.18103091493829426,0.09367615950412532,0.5,0.875,0.014805355316411806,80.0,80.0,False,,0.01666666666666672,0.22786899469035693,0.875,0.01666666666666672,1.0,0.0,0.0,0.0,0.0,0.0,0.43419403174044047,review,3
63,labevents::51244::Lymphocytes::valuenum,Lymphocytes,labevents,51244,valuenum,lab_blood_gas_respiration,min,0.01108686625957489,1898,0.23665835411471323,298,1600,137.7274169921875,10.585906028747559,12.303062438964844,1.7171564102172852,-0.053231854612870125,0.053231854612870125,0.4341359060402684,0.5658640939597316,0.13822850436964776,0.9880504501288548,0.01685897465116737,False,False,,0.2868982565691591,46,1,1.0001246816062184,46.0,0.26678591359360443,0.04022468595110938,0.5,0.875,0.03177991814445704,80.0,80.0,False,,0.25,0.2868982565691591,0.875,0.25,0.23665835411471323,0.0,0.0,0.0,0.0,0.0,0.42223531238221906,review,3
