recommendation,feature_index,variable,label,source,clinical_category,summary_mode,valid_fraction,hourly_coverage,point_biserial_corr,auroc,auprc,ap_lift_over_prevalence,mutual_information,univariate_relevance_score,correlation_cluster_id,correlation_cluster_size,mrmr_rank,mrmr_score,elasticnet_selection_probability,elasticnet_mean_abs_coefficient,rfecv_selected,consensus_score,physiology_direction_hint
core,0,chartevents::220045::Heart Rate::valuenum,Heart Rate,chartevents,vital_heart_rate,observed_fraction,1.0,0.6215710639953613,-0.15652525156413397,0.3798358717218403,0.11613393979996625,0.8301196053437874,0.0233198299989108,0.5809239908530767,1,3,7.0,0.47729600205042605,1.0,0.5582435308024287,False,0.754277197255923,higher_may_indicate_physiologic_stress
core,30,labevents::50816::Oxygen::valuenum,Oxygen,labevents,lab_blood_gas_respiration,last,0.03628428927680798,0.0018131753895431757,0.2062220751409148,0.6311142128899139,0.3329947907131266,2.3802301439565734,0.07292647814972253,0.7086854866255362,23,1,1.0,0.7086854866255362,1.0,0.04032954667054582,False,0.7162340749153416,
core,5,chartevents::220180::Non Invasive Blood Pressure diastolic::valuenum,Non Invasive Blood Pressure diastolic,chartevents,vital_blood_pressure,observed_fraction,1.0,0.516806960105896,-0.1486566187119337,0.37444370193845744,0.11388033124446553,0.8140109238686396,0.016069745873306118,0.5523092931147895,3,3,16.0,0.3863862524201147,1.0,0.07666801615851,False,0.7156927879344368,low_or_high_may_indicate_instability
core,4,chartevents::220179::Non Invasive Blood Pressure systolic::valuenum,Non Invasive Blood Pressure systolic,chartevents,vital_blood_pressure,observed_fraction,1.0,0.516879677772522,-0.1487095843195243,0.37443614336533004,0.11389409551922251,0.8141093102176156,0.01635166983530323,0.5532355177311857,3,3,14.0,0.40527010392068086,0.975,0.09519426708575338,False,0.7151373219860223,low_or_high_may_indicate_instability
core,31,labevents::50817::Oxygen Saturation::valuenum,Oxygen Saturation,labevents,lab_blood_gas_respiration,min,0.14738154613466334,0.013424771837890148,0.19301197356672448,0.6476015233637186,0.2399911111922957,1.7154444846365522,0.03348908905188619,0.6309300863094415,24,1,2.0,0.6103546713630221,1.0,0.10457250508479773,False,0.7006838471729654,lower_may_indicate_worse_oxygenation
core,21,chartevents::223835::Inspired O2 Fraction::valuenum,Inspired O2 Fraction,chartevents,respiratory_support_intensity,last,0.2314214463840399,0.03489193692803383,0.18325053827279056,0.6250282288694081,0.29192878964312113,2.0866924179481567,0.01634443372717631,0.6100441735134945,18,1,4.0,0.5815044247298748,1.0,0.2402002664282918,False,0.6961553966924524,
core,22,chartevents::223834::O2 Flow::valuenum,O2 Flow,chartevents,respiratory_support_intensity,last,0.6917705735660847,0.11722776293754578,0.09962047500139144,0.6319408915014918,0.1824724704936082,1.3043041117279304,0.00702148575525241,0.4790118308859593,19,1,10.0,0.4388865850546963,1.0,0.1915756704285741,False,0.6828806066223962,
core,10,chartevents::223761::Temperature Fahrenheit::valuenum,Temperature Fahrenheit,chartevents,vital_temperature,observed_fraction,1.0,0.167648583650589,-0.11570639208759795,0.39402712507022364,0.12423731883442467,0.8880421542353707,0.017463704830945836,0.5058059173991036,7,1,19.0,0.3708668577456529,0.95,0.0662460661973455,False,0.676741775219731,
core,57,"labevents::50885::Bilirubin, Total::valuenum","Bilirubin, Total",labevents,lab_liver_protein,max,0.3518703241895262,0.018344763666391373,0.1483472296553195,0.5824096563981043,0.22849635336227256,1.63328052938095,0.016053533168423284,0.4891608685599924,41,1,6.0,0.48366405024692605,1.0,0.18215855192393066,False,0.6652686263202837,
core,35,labevents::50813::Lactate::valuenum,Lactate,labevents,lab_metabolic,last,0.39987531172069823,0.031234413385391235,0.13201486694752532,0.573184609949316,0.2417394356809517,1.727941420821063,0.007957005204353162,0.46265435021613516,28,1,11.0,0.43154493552443673,1.0,0.10850522564724088,False,0.6454505029035771,higher_may_indicate_shock_or_stress
