feature_index,variable,label,source,itemid,value_source,clinical_category,summary_mode,hourly_coverage,valid_n,valid_fraction,positive_n,negative_n,variance,mean_positive,mean_negative,abs_mean_difference,point_biserial_corr,abs_point_biserial_corr,auroc,auroc_abs,auprc,ap_lift_over_prevalence,mutual_information,possible_leakage_flag,static_like_flag,physiology_direction_hint,univariate_relevance_score,correlation_cluster_id,correlation_cluster_size,standardized_variance_diagonal,mrmr_rank,mrmr_score,mean_abs_corr_with_previous_selected,lambda_redundancy,elasticnet_selection_probability,elasticnet_mean_abs_coefficient,elasticnet_successful_bootstraps,elasticnet_n_requested_bootstraps,rfecv_selected,rfecv_rank,mrmr_rank_score,component_relevance,component_stability,component_mrmr,component_coverage,component_rfecv,penalty_leakage,penalty_static,penalty_sparse,penalty_low_relevance,consensus_score,recommendation,recommendation_order,final_branch,final_rank_within_branch,evidence_feature_index
230,chartevents::225638::Differential-Bands::valuenum,Differential-Bands,chartevents,225638,valuenum,chart_other,min,0.0028158770874142,483,0.0602244389027431,94,389,48.52326583862305,7.361701965332031,3.460154294967652,3.90154767036438,0.2217448437327595,0.2217448437327595,0.6534622326751627,0.6534622326751627,0.3302767023361728,2.3608013839002733,0.0592599621556009,False,False,,0.7283415557761748,150,1,1.0001247484405196,1.0,0.7283415557761748,0.0,0.5,1.0,0.1058266868349164,80.0,80.0,False,,1.0,0.7283415557761748,1.0,1.0,0.0602244389027431,0.0,0.0,0.0,0.0,0.0,0.7245249106231266,core,1,algorithmic,1,230
150,chartevents::220224::Arterial O2 pressure::valuenum,Arterial O2 pressure,chartevents,220224,valuenum,chart_other,slope,0.0121051538735628,239,0.0298004987531172,62,177,472.9256591796875,0.9331085681915284,-6.086362838745117,7.0194714069366455,0.1414791711650315,0.1414791711650315,0.6024694733005286,0.6024694733005286,0.3697538375535177,2.642981976095555,0.0087879905251824,False,False,,0.5205222159290971,80,1,1.0001247138021867,20.0,0.5106946410465756,0.019655149765043,0.5,1.0,0.1294991448754444,80.0,80.0,False,,0.8978494623655914,0.5205222159290971,1.0,0.8978494623655914,0.0298004987531172,0.0,0.0,0.0,0.0,0.0,0.6387066071271591,core,1,algorithmic,2,150
350,"labevents::50884::Bilirubin, Indirect::valuenum","Bilirubin, Indirect",labevents,50884,valuenum,lab_liver_protein,min,0.0011118038091808,195,0.0243142144638403,29,166,7.03924036026001,3.5620687007904053,1.8746988773345947,1.6873698234558103,0.2262902891916136,0.2262902891916136,0.5347943498130453,0.5347943498130453,0.3256968906533184,2.328065118573631,0.0430871184050818,False,False,,0.6046454868690493,256,1,1.0001247218947438,9.0,0.5987336137159008,0.0118237463062969,0.5,0.9875,0.042213814164279,80.0,80.0,False,,0.956989247311828,0.6046454868690493,0.9875,0.956989247311828,0.0243142144638403,0.0,0.0,0.0,0.0,0.0,0.6714729169694644,core,1,algorithmic,3,350
277,chartevents::226534::Sodium (whole blood)::valuenum,Sodium (whole blood),chartevents,226534,valuenum,chart_other,slope,0.0025301328860223,33,0.0041147132169576,10,23,0.5563255548477173,0.3251863121986389,-0.12772236764431,0.4529086798429489,0.2790590650052144,0.2790590650052144,0.6043478260869565,0.6043478260869565,0.5892836410077789,4.212170054262377,,False,False,,0.5864198650772833,189,1,1.0001246504178043,,,,,0.0,0.0,,,False,,0.0,0.5864198650772833,0.0,0.0,0.0041147132169576,0.0,0.0,0.0,1.0,0.0,0.0,reject_or_review_sparse,5,algorithmic,4,277
307,chartevents::226536::Chloride (whole blood)::valuenum,Chloride (whole blood),chartevents,226536,valuenum,chart_other,mean,0.0017248545773327,240,0.0299251870324189,72,168,62.712440490722656,105.95254516601562,103.04612731933594,2.9064178466796875,0.1681862386438487,0.1681862386438487,0.624917328042328,0.624917328042328,0.3926998996887868,2.806999282980455,0.0645641332651547,False,False,,0.698800640934286,216,1,1.0001246868582006,4.0,0.6885635937523171,0.0204740943639377,0.5,0.875,0.0234644645490334,80.0,80.0,False,,0.9838709677419356,0.698800640934286,0.875,0.9838709677419356,0.0299251870324189,0.0,0.0,0.0,0.0,0.0,0.6719069045319148,core,1,algorithmic,5,307
246,chartevents::229357::Absolute Count - Neuts::valuenum,Absolute Count - Neuts,chartevents,229357,valuenum,chart_other,min,0.0024106400087475,428,0.0533665835411471,63,365,75.71248626708984,12.86047649383545,10.412274360656738,2.448202133178711,0.0996865284553707,0.0996865284553707,0.5972167862578821,0.5972167862578821,0.2042961344111926,1.4602985721726964,0.0204026587724019,False,False,,0.3930284119366454,131,2,1.000124681356912,55.0,0.3834388267488282,0.0191791703756345,0.5,1.0,0.101835353023489,80.0,80.0,False,,0.7096774193548387,0.3930284119366454,1.0,0.7096774193548387,0.0533665835411471,0.0,0.0,0.0,0.0,0.0,0.5651806658060761,review,3,algorithmic,6,246
308,labevents::50924::Ferritin::valuenum,Ferritin,labevents,50924,valuenum,lab_other,min,0.001246882835403,236,0.0294264339152119,35,201,53676192.0,3156.05712890625,2027.7867431640625,1128.2703857421875,0.0547321441954757,0.0547321441954757,0.648542999289268,0.648542999289268,0.2364733301029527,1.6902995609854554,0.081951129996435,False,False,,0.4822974026514712,217,1,1.0001246820449743,25.0,0.4744056298464755,0.0157835456099914,0.5,0.7625,0.0162987163045549,80.0,80.0,False,,0.8709677419354839,0.4822974026514712,0.7625,0.8709677419354839,0.0294264339152119,0.0,0.0,0.0,0.0,0.0,0.5505754125740593,core,1,algorithmic,7,308
139,chartevents::220632::LDH::valuenum,LDH,chartevents,220632,valuenum,chart_other,last,0.0093360347673296,1569,0.1956359102244389,203,1366,1843375.5,821.0763549804688,495.3521118164063,325.7242431640625,0.0805181124348977,0.0805181124348977,0.6117155551067806,0.6117155551067806,0.1871827459547453,1.337972925630176,0.0331872118486342,False,False,,0.4299790897672376,68,2,1.0001247079734554,44.0,0.4113348100120677,0.0372885595103399,0.5,0.825,0.0780488908814732,80.0,80.0,False,,0.7688172043010753,0.4299790897672376,0.825,0.7688172043010753,0.1956359102244389,0.0,0.0,0.0,0.0,0.0,0.5498207588128302,strong,2,algorithmic,8,139
223,"labevents::51214::Fibrinogen, Functional::valuenum","Fibrinogen, Functional",labevents,51214,valuenum,lab_coagulation,mean,0.0040939319878816,547,0.0682044887780548,130,417,39693.86328125,277.5695495605469,341.9222412109375,64.35269165039062,-0.1374856824352826,0.1374856824352826,0.3827153661686036,0.6172846338313964,0.2041706395050569,1.4594015408471983,0.0760463035197613,False,False,,0.5482159860455076,144,2,1.0001246727572894,16.0,0.5374460809321496,0.021539810226716,0.5,0.9875,0.0746949308217153,80.0,80.0,False,,0.9193548387096774,0.5482159860455076,0.9875,0.9193548387096774,0.0682044887780548,0.0,0.0,0.0,0.0,0.0,0.6514062124333933,core,1,algorithmic,9,223
363,"labevents::51283::Reticulocyte Count, Automated::valuenum","Reticulocyte Count, Automated",labevents,51283,valuenum,lab_other,observed_fraction,0.0009299667435698,8020,1.0,1122,6898,3.874966932926327e-05,0.0007427213713526,0.0009604233200661,0.0002177019487135,-0.012131431371529,0.012131431371529,0.4975299616670516,0.5024700383329483,0.1394206433321009,0.9965717999317736,0.0,False,False,,0.2011179366186543,267,1,1.0001246565121995,177.0,0.1867447953366587,0.028746282563991,0.5,0.0,0.0,,,False,,0.053763440860215,0.2011179366186543,0.0,0.053763440860215,1.0,0.0,0.0,0.0,0.0,0.0,0.1710880691576393,weak_or_noise,4,algorithmic,10,363
